team,season,games_played,xgf_pg,xga_pg,gf_pg,ga_pg
STL,2017,82,2.6726829268292684,2.5998780487804876,2.7195121951219514,2.707317073170732
TBL,2017,82,3.1546341463414636,2.863536585365854,3.5365853658536586,2.8536585365853657
TOR,2017,82,3.3001219512195124,3.0101219512195123,3.292682926829268,2.8048780487804876
VAN,2017,82,2.582317073170732,2.9000000000000004,2.658536585365854,3.158536585365854
VGK,2017,82,3.0385365853658537,2.769390243902439,3.268292682926829,2.7439024390243905
WPG,2017,82,2.949024390243902,2.637926829268293,3.3292682926829267,2.6341463414634148
WSH,2017,82,2.784390243902439,3.06,3.1219512195121952,2.902439024390244
ANA,2018,82,2.4026829268292684,3.107439024390244,2.3902439024390243,3.024390243902439
ARI,2018,82,2.8841463414634148,2.737195121951219,2.548780487804878,2.682926829268293
BOS,2018,82,2.9476829268292684,2.6785365853658534,3.1341463414634148,2.5853658536585367
BUF,2018,82,2.749512195121951,2.9614634146341463,2.6951219512195124,3.268292682926829
CAR,2018,82,3.502317073170732,2.7509756097560976,2.9634146341463414,2.6951219512195124
CBJ,2018,82,2.911219512195122,2.7824390243902437,3.1219512195121952,2.817073170731707
CGY,2018,82,3.1719512195121955,2.801829268292683,3.524390243902439,2.7195121951219514
CHI,2018,82,2.717439024390244,3.3171951219512192,3.2560975609756095,3.548780487804878
COL,2018,82,2.864268292682927,2.8356097560975613,3.1463414634146343,2.975609756097561
DAL,2018,82,2.814390243902439,2.716951219512195,2.548780487804878,2.4390243902439024
DET,2018,82,2.6440243902439025,3.288170731707317,2.731707317073171,3.317073170731707
EDM,2018,82,2.691829268292683,2.978780487804878,2.792682926829268,3.3048780487804876
FLA,2018,82,2.838658536585366,2.9046341463414636,3.2195121951219514,3.3292682926829267
LAK,2018,82,2.5608536585365855,3.020609756097561,2.426829268292683,3.158536585365854
MIN,2018,82,2.8356097560975613,2.5946341463414635,2.5609756097560976,2.841463414634146
MTL,2018,82,2.9053658536585365,2.7417073170731707,3.0,2.8780487804878048
NJD,2018,82,2.6345121951219515,2.8603658536585366,2.6707317073170733,3.3048780487804876
NSH,2018,82,2.8398780487804878,2.8432926829268292,2.8780487804878048,2.5853658536585367
NYI,2018,82,2.801341463414634,2.69,2.7195121951219514,2.3292682926829267
NYR,2018,82,2.652195121951219,3.024878048780488,2.6951219512195124,3.2560975609756095
OTT,2018,82,2.7907317073170734,3.1756097560975607,2.951219512195122,3.6707317073170733
